patent_id,title,year,publication_date,jurisdiction,legal_status,assignee,current_assignee,inventors,n_assignees,n_inventors,source_query,document_category,abstract_clean
KR-20240046655-A,Project-type software education system using physical computing,2022,2024-04-09,KR,Pending,KIM HYEON SU; PARK SU IN,,KIM HYEON SU; PARK SU IN,2,2,Computational Thinking,patent,"The present invention relates to a project-type software education system using physical computing, which provides lectures on basic computing knowledge to proceed smoothly with a project through sufficient background knowledge lectures, thereby reducing the cost burden caused by purchasing unnecessary additional kits. , it is designed to solve the problems of theory-centered education with low interest, limited amount of content, and one-shot education. In other words, the present invention provides sufficient background knowledge lectures, boards and circuit wires conducted before physical computing (221) to provide lectures on basic computing knowledge to proceed smoothly with projects in textbook-oriented theoretical education. Physical computing is structured after sufficient background knowledge lectures (101) to enable hands-on practice of configuring basic circuits. , it is located within the video lecture (200) and consists of content to improve overall education by presenting various error situations, solutions, and circuit connections that may occur during the coding and making process as materials to contribute to improving learners' learning understanding. It includes all courses between the background knowledge lecture (101) and the relative project evaluation (302), which are sufficient to enable learners to have an overall understanding of what they are learning by providing help materials, explanations of circuit connections and coding, etc. Video lectures designed to be provided as .mp4 or .MOV files, and project-type exercises that are practiced by setting a project topic that can take advantage of the theoretical education so that coding theory preliminary education and idea development can be well combined. , In addition to content evaluation, it is characterized by including a project relative evaluation in the form of a survey to analyze overall satisfaction with the course and individual tendency after completing all of the above processes so that evaluation can be conducted to explore individual tastes and learning levels. do. Therefore, the present invention makes it possible to provide lectures on basic computing knowledge to proceed smoothly with a project through sufficient background knowledge lectures, eliminating the cost burden of purchasing unnecessary additional kits, theory-centered education with low interest, and limited content. It has the effect of resolving the problems of single-shot training, the cost burden caused by purchasing unnecessary additional kits, theory-centered education with low interest, limited amount of content, and one-shot training."
KR-20230172702-A,Educational methods to promote creativity and character,2022,2023-12-26,KR,Ceased,UNIV TONGMYONG IND ACAD COOP FOUND,,YOUN JEONG JIN; KIM SEONG WON; PARK JIN HEE; LEE HYANG SOOK,1,4,Computational Thinking,patent,"The present invention relates to an educational method to promote creativity and personality. The educational method to promote creativity and personality comprises: a pre-activity step of transmitting learning materials to a server by using an educator terminal, determining whether the learning materials are appropriate for educational content by using the server, and then classifying the learning material by topic for preparation; a main activity step of accessing the server by using a plurality of learner terminals to check the learning materials and having a discussion in relation to the learning materials; and a post-activity step of performing assignment submission and class evaluation by using the learning terminals and performing feedback for the assignment submission and the class evaluation through the educator terminal. Accordingly, the present invention can enhance creativity and personality by using learning materials that can be utilized as educational content and progressing classes and, in addition, evaluate creativity and personality enhancement."
KR-20230126104-A,APPARATUS AND METHOD FOR NON-FACE-TO-FACE ONLINE BASED LEARNER-LEVEL CUSTOMIZED MATH CODING EDUCATION,2022,2023-08-29,KR,Ceased,UNIV KOOKMIN IND ACAD COOP FOUND,,LEE JUNG MI; SONG JINJOO; LEE CHANG WOO; JIN HYE JIN,1,4,Computational Thinking,patent,"It relates to a non-face-to-face online based learner level customized math coding education apparatus and method, the device receiving a math sample response to a math sample problem for each level and diagnosing the learner's math level, and a coding sample problem for each level A learner coding level diagnosis unit for diagnosing the learner's coding level by receiving a coding sample response to the learner, a learning content determination unit for constructing content for learning mathematics based on the learner's math level and determining content for learning coding based on the content for learning mathematics, A content controller for learning coding that adjusts the blank level of the content for learning coding based on the coding level of the learner, and a learner coding response is received through the content for learning coding to construct a program code and generate a syntax error related to the program code. ) and a learner coding evaluation unit that checks semantic errors."
KR-20230073604-A,Hybrid coding education system,2021,2023-05-26,KR,Granted,PARK JIN YOUNG,,PARK JIN YOUNG,1,1,Computational Thinking,patent,"The present invention relates to a hybrid coding education system which provides a coding simulation platform linked to a cloud server collecting and sharing sensor data from the real world, including sensor data from shared coding tools, to generate various types of sensor data and sensor data with various characteristics required for coding education so that a plurality of instructors and learners perform coding education in real time simultaneously without constraints of time, space, and costs. The hybrid coding education system comprises: a shared terminal generating shared data for coding education purposes, including sensor data from the real world; a cloud server collecting and storing the generated coding education sensor data in real time and transmitting stored coding education big data to a user in real time; a coding simulation allowing the users to selectively receive and edit the sensor data for simulation based on the big data, providing new big data for coding education suitable for user's coding education based on the sensor data, and generating control commands for coding tools; and a user terminal including the coding tools which operate by receiving the control commands. Accordingly, a coding education environment can be established at low costs."
KR-20230007728-A,Educational video production and information provision service system using Arduino coding information,2021,2023-01-13,KR,Withdrawn,KIM YUL,,KIM YUL,1,1,Computational Thinking,patent,"According to an embodiment of the present invention for achieving the above object, the present invention consists of an Arduino coding kit, a block coding kit, a microbit coding kit, and a Raspberry Pi coding kit, and each of the coding kits is classified by difficulty level. Coding kit providing unit provided by; A basic education information provider that provides basic principles, usage, and technical education information to be acquired at the introductory stage of craft activities, and advanced theory and application education information to enable the creation of new creations based on users' ideas. Program provision department, including further education department, which induces craft activities; Provision of a coding kit optimized for the user by generating promotional information for recruiting users, determining the propensity, age, gender, and level of the recruited users and matching the user with a coding kit to be provided from the coding kit provider. a marketing unit for making this happen, and generating reservation information for the user's training time slot and transmitting it to the user terminal; The marketing unit receives the optimized coding kit and transmits it to the coding kit providing unit, controls transmission of the optimized coding kit to the program providing unit and the user terminal, respectively, and provides the program at a reserved time. It is characterized in that it includes; an education execution control unit for controlling driving of the unit so that education on the optimized coding kit can proceed."
KR-20220146788-A,Devices and methods for providing coding training content that enable effective delivery of coding training content,2021,2022-11-02,KR,Pending,UNIT COMPANY INC,,CHOI SUN HEE,1,1,Computational Thinking,patent,"The present invention is to provide a coding education content providing device and a coding education content control method using the same. The present invention is configured to be very suitable in terms of providing content for coding education to infants and children because the configuration is simple and suitable for commercialization, but the same is very concise for infants and children to operate, and the progress method of the provided content is simple and clear. A coding education content providing device comprises: a plurality of coding blocks having direction indications; a block arrangement panel in which a plurality of coding grooves are formed to insert each of the coding blocks, and which detects a direction indicated by each of the inserted coding blocks as each of the coding blocks is inserted into the respective coding grooves; and a control unit for controlling a means for providing content for coding education according to direction information indicated by each of a plurality of coding blocks inserted into the block arrangement panel."
KR-20220146787-A,coding training programs that provide learning and experience with sw and hardware,2021,2022-11-02,KR,Pending,UNIT COMPANY INC,,CHOI SUN HEE,1,1,Computational Thinking,patent,"The present invention proposes coding education module and program that provide learning and experience on software and hardware by linking an online education program using blocks with an IoT device. To provide educational opportunities for self-directed acquisition of computational thinking ability, which is a core competency in SW-centered society, and to improve children's basic learning capabilities, such as logical thinking and problem-solving ability, the present invention can provide a module for physical computing education in which children can learn and experience software and hardware at the same time by linking online coding education software using blocks with the Internet of Things (IoT). Therefore, the present invention directly connects students who are learning coding through educational hardware devices to how the contents they are currently learning are applied in real life, leading to interest in learning, and barriers to entry of educational hardware devices that may be difficult for young students can be lowered."
KR-20220126923-A,APPARATUS FOR CODING EDUCATION,2021,2022-09-19,KR,Granted,KIM DO WON,,KIM DO WON,1,1,Computational Thinking,patent,"The present invention relates to a coding education device. According to one embodiment of the present invention, the light source emitted from the light source module is controlled through a coded program, and the light emitted through the light source is dispersed through the block unit so that the user can visually see, so that the user can intuitively code It has the effect of improving the user's interest in coding education by allowing the user to understand the algorithm of"
KR-20220116773-A,SYSTEM FOR PROVIDING PROGRAM LINKED BETWEEN EDUCATION AND EMPLOYMENT BASED ON-LINE,2021,2022-08-23,KR,Granted,LEE MIN HYEONG,,LEE MIN HYEONG,1,1,Computational Thinking,patent,"The present invention discloses an education and employment linkage program system. More similarly, the present invention relates to an online-based education and employment-related program providing system that matches a user who has obtained an online open class (MOOC) qualification corresponding to work in a company seeking a job and connects a company to employment. According to an embodiment of the present invention, when a user acquires a qualification by taking a MOOC course, the qualification information is managed, and the scores obtained by a plurality of users are percentageized and compared to visualize the individual competency possessed by each user. can objectively judge one's own work competency, and companies can easily review and select job seekers with the necessary capabilities."
KR-20220096513-A,RECOGNIZING CODING EDUCATION BLOCK SYSTEM,2020,2022-07-07,KR,Granted,SEJONG INDUSTRY ACADEMIA COOPERATION FOUNDATION HONGIK UNIV,,SEO BEOM JOO; KIM NA YOUNG,1,2,Computational Thinking,patent,"The present invention relates to a coding block recognition system, and more particularly, the arrangement of commands for coding puzzle input produced in the form of a tensible block that learners can directly manipulate by hand in an augmented reality environment within a limited time. It relates to a coding block recognition system capable of recognizing blocks."
KR-20220096503-A,ROBOT CONTROL SYSTEM FOR CODING EDUCATION,2020,2022-07-07,KR,Granted,SEJONG INDUSTRY ACADEMIA COOPERATION FOUNDATION HONGIK UNIV,,KIM NA YOUNG; SEO BEOM JOO,1,2,Computational Thinking,patent,"The present invention relates to a robot control system for learning coding, and more particularly, to a robot control system that can improve the utilization of the robot in the coding aid market by accurately controlling the robot for coding learning through a line sensing unit that can detect a line. it's about A robot control system for learning coding according to the present invention, a robot including a plurality of motors therein, which moves according to a tensable block including a command, and a control unit for independently controlling the plurality of motors, respectively, and the A tile board corresponding to a space in which the robot moves, wherein the control unit includes a line sensing unit for detecting a line of the tile board in order to check whether the robot moves according to the tenable block, the line sense The branch includes line information configured differently depending on whether the line exists within the detection radius of the line detection unit, and the order information of the tensable block is read by a block recognition algorithm, wherein the block recognition algorithm is three-dimensional and mapping the tenable block arranged in space into a two-dimensional space."
KR-20220086103-A,ACHIEVEMENT EVALUATION SYSTEM OF CODING PUZZLE GAME,2020,2022-06-23,KR,Ceased,SEJONG INDUSTRY ACADEMIA COOPERATION FOUNDATION HONGIK UNIV,,SEO BEOM JOO,1,1,Computational Thinking,patent,"The present invention relates to an achievement evaluation system for a coding puzzle game that enables an objective and reliable method to evaluate the improvement of a learner's computational thinking ability through a coding puzzle game. The achievement evaluation system of a coding puzzle game according to the present invention includes a client that extracts puzzle solution information, which is information of a coded solution from a learner terminal, and receives the puzzle solution information from the client to perform a performance evaluation and to display the evaluation result and a server comprising an evaluation module returning to the client, wherein the evaluation module is configured to evaluate structural efficiency and performance of the solution."
KR-20220085650-A,An educational tool that trains coding algorithms based on smart blocks,2020,2022-06-22,KR,Granted,CREAMO INC,,LEE SEOK; CHO GANG HYUN; LIM KANG SOO; HAM BO RA; LEE KYUNG SOO,1,5,Computational Thinking,patent,Coding algorithm training aids are provided. The coding algorithm training toolbox is an assembly module formed according to the specifications of the block so that the coding algorithm training toolbox of the present invention is detachable from the block for play; It may include; a control module for controlling the assembly module.
KR-20220073929-A,educational materials and board game set containing them,2020,2022-06-03,KR,Withdrawn,LEE SANG WON,,LEE SANG WON,1,1,Computational Thinking,patent,The present invention relates to an educational material and a board game set including the same.
KR-20220054015-A,SYSTEM FOR CODING EDUCATION,2020,2022-05-02,KR,Ceased,GLOBAL CODING RES CO LTD,,LEE CHANG HUN,1,1,Computational Thinking,patent,"A coding education system is disclosed. A coding education system according to the present invention is classified by at least one or more learning categories, and a code providing unit to which n (n > 0) commands including example functions corresponding to the learning categories are assigned; a code execution unit for recognizing the learning category and the instruction assigned to the code providing unit, and performing a predetermined operation based on the recognized data; a data processing unit that transmits the data allocated to the code providing unit and the data recognized by the code execution unit to a preset user terminal, and transmits the data generated by the user terminal to the code providing unit; and a status display unit that determines the code execution state of the code execution unit based on the data received from the data processing unit, and displays the execution state of at least one of waiting for recognition, code execution, and code error."
KR-20220010253-A,EDUCATION SYSTEM AND METHOD FOR CODING,2020,2022-01-25,KR,Ceased,KYOWON CO LTD,,JUNG EUN KYOUNG; MOON JI HONG; KIM HYO JUNG; OH YOON SEOK; CHOI BIN NA,1,5,Computational Thinking,patent,"The present invention is to provide a coding learning system and a coding learning method which allow a user to directly produce an article through digital activities and teaching tool activities in parallel and allow the user to perform coding for the operation of the article. Provided is a coding learning system for coding education of a learner. The coding education system comprises: an education unit which outputs information about a certain article; and an education member which allows the learner to check the information about the article through the education unit and allows the learner to actually produce the article. The education unit is connected to the education member so that coding information for operating the article can be provided to the education member. In the generation of the coding information, at least one code block is output through a coding work environment so that the coding information is generated according to a combination of the code blocks. Accordingly, the present invention has effects of: improving creativity and logical reasoning ability through the digital activities and the teaching tool activities in parallel; and increasing the coding understanding of a learner by allowing the learner to directly perform coding related from the production to the operation of the article."
KR-20220000161-A,Card game kit and game method for coding education,2020,2022-01-03,KR,Granted,SCIENCEZONE CO LTD,,SEONG CHANG HYEON,1,1,Computational Thinking,patent,"It relates to a card game kit for coding education in which two players can learn coding education while playing a card battle according to a predetermined rule. The card game kit for coding education includes a map including a horseboard formed in the center in a longitudinal direction, and a plurality of lanes each with card seating portions formed on both sides of the horseboard; a horse selected by the player and seated on the board; and a plurality of cards each having a unique number and a number indicating attack power, and capable of being seated in the card receiving unit depending on whether the player selects the card, wherein the card is selected in a predetermined number to constitute a deck, , when at least one of the cards included in the deck is located in the card receiving part, the battle can be conducted by comparing the opponent's card with the attack power, and the player's horse defeated in the battle moves on the board by the difference in the attack power characterized in that"
KR-20210138269-A,Software training box kit with project-based learning,2020,2021-11-19,KR,Granted,재단법인 스마일게이트희망스튜디오,,오숙현; 윤성주; 소재환,1,3,Computational Thinking,patent,"According to the present invention, a software training box kit with project-based learning, which allows a user to assemble, fabricate, and play materials that make up the kit, comprises: a storage case (10) having a structure that can be opened and closed such that teaching tools can be stored therein; and a map case (100) detachably coupled to an inner surface of the storage case (10). The storage case (10) includes: a case main body (11) with an open one side; and a cover part (15) coupled to an open region of the case main body (11) and allowing the inside of the case main body (11) to be selectively opened. In a state in which the cover part (15) is opened in a rotating manner with respect to a lower end of the case main body (11) while the case main body (11) is vertically disposed, the map case (100) is mounted on the inner surface of the case main body (11). A user can perform play activities based on make and play (MAP) in which the user can download a project programmed through an embedded device constituting the map case (100), fabricate and play."
KR-20210084911-A,Korean Representation System Using Multi-Process LED for Coding Education,2019,2021-07-08,KR,Withdrawn,NAT UNIV PUSAN IND UNIV COOP FOUND,,LEE SE JIN; JEONG JU HUN,1,2,Computational Thinking,patent,"The present invention relates to a Hangul (Korean alphabet) representation system using multi-process type LED for coding education. More specifically, the present invention relates to a Hangul representation system using multi-process type LED for coding education which, in coding education using micro bits, has a matrix composed of 3 color LED capable of representing the Hangul, and transmits codes written to control the matrix, thereby representing two characters of the Hangul at the same time. According to the present invention, the system has an effect of encouraging an interest in coding education."
KR-20210075462-A,EDUCATION SYSTEM FOR CODING,2019,2021-06-23,KR,Granted,KYOWON CORP,,YOON MI YOUNG; MOON JI HONG; OH HYUN DEOK,1,3,Computational Thinking,patent,"The present invention provides a coding education system capable of interesting and effective coding learning by smartly linking reading activity, teaching activity, and learning through an application, to an education unit that recognizes a marker and outputs information about the marker and a user. and a puzzle assembly that is combined to correspond to the marker by means of which the education unit captures the puzzle assembly through a camera module and determines whether the marker and the puzzle assembly match, so that the coding education content output from the education unit is to be manipulated. Therefore, it is effective in educational development according to the use of various textbooks, so that creativity and logical thinking ability are improved through reading activities, teaching aid activities, and linked learning through applications."
KR-20210051338-A,METHOD FOR PROVIDING SERVICE OF AN CODING EDUCATION AND COMPUTING DEVICE FOR THE SAME,2019,2021-05-10,KR,Ceased,CAPTEACHING CO LTD,,SEO KYOUNG SIK,1,1,Computational Thinking,patent,"The present invention relates to a method for providing a coding education service, which uses a chatting program in which one computing device and at least one computing device are interconnected through a wired/wireless communication network to provide a chatting service. To this end, the method comprises the following steps: receiving coding data through a coding module in an arbitrary computing device; transmitting the received coding data to at least one other computing device through a chatting program executed on the arbitrary computing device; and displaying the coding data received from the at least one other computing devices through the chatting program."
KR-20210044470-A,DEBUGGING METHOD BASED ON A MODEL AND DEBUG EDUCATION SYSTEM WHERE THE METHOD IS APPLIED,2019,2021-04-23,KR,Granted,UNIV SEOUL IND COOP FOUND,,LEE JAEHO; CHOI BYUNGGI; LEE JONGUK,1,3,Computational Thinking,patent,"The model-based debug method of the present disclosure includes the steps of understanding a user speech using a basic model, generating a coding education robot state speech using the basic model, and checking a debugging command using the basic model and Generating an additional speech sentence for understanding, and the basic model includes a command template, a speech template, and a code model, and the code model is an actual It is a model for function."
KR-20210012789-A,CODING EDUCATION METHOD AND ROBOT,2019,2021-02-03,KR,Granted,UNIV SEOUL IND COOP FOUND,,LEE JAEHO; CHOI BYUNGGI; LEE JONGUK,1,3,Computational Thinking,patent,"The coding education method of the present disclosure includes the steps of converting a program code created by a coding education object into a code model through code modeling, and searching and extracting at least one of a code execution unit, a procedure, and a condition of the code model as a debug target. Generating a debug model by combining a basic model defining a debug rule with the extracted debug object, inserting the debug model into the program code with reference to the code model, and by a coding education robot, And expressing information through at least speech to the coding education subject according to the interaction method inserted in the debug model."
KR-20210006539-A,System and method for providing coding training using peer terminals connected to the cloud platform,2019,2021-01-19,KR,Granted,GENIROBOT CO LTD,,LEE EUN SEUNG; HYUNSOO KIM,1,2,Computational Thinking,patent,"The present invention generates coding data by collecting commands from peer terminals connected to the cloud platform as well as peer terminals connected to the coding robot through a short-range wireless communication method, and controlling the coding robot using this, thereby providing highly effective coding education. Can provide."
KR-20200145875-A,SAYPEN TO PROVIDE CODING TRAINING BY PAIRING WITH ROBOT AND METHOD OF THE SAME,2019,2020-12-31,KR,Granted,GENIROBOT CO LTD,,LEE EUN SEUNG; HYUNSOO KIM,1,2,Computational Thinking,patent,"The present invention relates to a coding pen capable of coding education, wherein the coding pen for coding education according to an embodiment is stored by matching at least one voice file or at least one command to each of a plurality of identification information and the plurality of identification information. A storage unit that senses a first micro pattern printed on a two-dimensional plane, or a sensing unit that outputs identification information by sensing a second micro pattern printed on a coding card, and using the output identification information, An extraction unit for extracting the stored voice file or the command, an output processing unit for outputting the extracted voice file when the voice file is extracted, and for generating coding data by combining the extracted command when the command is extracted A coding data processing unit, and a communication unit for transmitting the generated coding data to an authenticated robot, wherein the robot receives the coding data and can operate according to an algorithm corresponding to the coding data."
KR-20200139859-A,System and method for providing coding education using star topology in Internet of things,2019,2020-12-15,KR,Granted,GENIROBOT CO LTD,,LEE EUN SEUNG,1,1,Computational Thinking,patent,"The present invention relates to a technical idea for performing control to enable a master robot and all slave robots connected to a star network to be operated together by coding data. According to one embodiment of the present invention, a coding education system comprises: a coding pen sensing a micro pattern to generate coding data; the master robot operated in accordance with an algorithm corresponding to the coding data when receiving the coding data from the coding pen; and the slave robot paired with the master robot on a star network of Internet of things (IoT) and operated based on the coding data transferred from the paired master robot."
KR-20200136152-A,CODING BOARD APPARATUS AND METHOD FOR GENERATING AN ALGORITHM FOR CONTROLLING A CODING ROBOT USING A CODING CARD,2019,2020-12-07,KR,Granted,JUNG YONG BI,,JUNG YONG BI,1,1,Computational Thinking,patent,"The present invention relates to a coding board apparatus for generating an algorithm for controlling a coding robot using coding cards to intuitively and conveniently provide coding education, and a method thereof. According to one embodiment of the present invention, the coding board apparatus comprises: a circuit board divided into a plurality of sections and including a sensing means for collecting identification information of the coding card in each of the plurality of sections; a controller collecting the identification information of the coding card arranged in at least a part of the plurality of sections through the sensing means, determining an event or execution command code corresponding to the collected identification information of the coding card, combining the location of the section, from which the identification information of the coding card is collected, and the determined event of execution command code to generate an algorithm for controlling a coding robot, and generating a control signal corresponding to the generated algorithm; and a short-range communication module converting the generated control signal into a short-range wireless communication signal form to transmit the converted control signal to a main controller of the coding robot, wherein the coding robot compiles the received control signal to control operation of driving devices."
KR-20200134125-A,platform-based education system and education method,2019,2020-12-01,KR,Abandoned,LEE HWA JUN,,LEE HWA JUN,1,1,Computational Thinking,patent,"The present invention relates to a platform-based education system and education method. In an aspect of the present invention, in a system including a plurality of blocks and a terminal communicating with the plurality of blocks, the plurality of blocks include: a first block including a sensor unit for receiving a first command from a user; A second block including a communication unit for receiving a second command from the terminal; A third block including an output unit configured to output first information based on at least one of the first command and the second command; And a fourth block including a control unit for controlling the operation of the first block to the third block; wherein the terminal includes a display unit on which a tool for programming block coding for the second command is displayed ; And a terminal communication unit that transmits the determined second command to the plurality of blocks through block coding of the tool."
KR-20200113827-A,CODABLE BLOCK TEACHING AID FOR KID'S COMPUTATIONAL THINKING ENHANCEMENT,2019,2020-10-07,KR,Withdrawn,KOREA ADVANCED INST SCI & TECH,,KIM MYUNG SUK; CHUNG HAE JOON; KIM YUN TAE; KIM YUN SOO; AN CHANG HYO,1,5,Computational Thinking,patent,"The coding block parish is made up of a plurality, the first block parish consists of a start block (10a), at least one block parish that is placed in the middle consists of a middle block (10b), and the block that is placed last The diocese is an operating method for executing an algorithm through a plurality of coding block dioceses composed of end blocks 10c: a) When the start block 10a receives an input to transmit the algorithm from the user, it contains a logical sequence. Creating an array and sending it to the middle block 10b; b) the middle block (10b) attaches the arrangement of the function set by the operation unit (122) to the end of the arrangement received from the previous block and sends it to the next block; And c) the end block 10c sending the arrangement received from the previous block to the computer."
KR-20200095304-A,TEACHING MATERIALS FOR ENGLISH CODING EDUCATION AND BOARD GAME INSTRUMENT SET FOR ENGLISH CODING EDUCATION INCLUDING THE SAME,2019,2020-08-10,KR,Ceased,KWON YEONG SEON,,KWON YEONG SEON,1,1,Computational Thinking,patent,"The present invention provides a board game set for English coding education using a robot including an English coding education textbook. The English coding educational board game set includes a plurality of coding cards, each containing a coding instruction in the form of at least one of a language and a shape, and an identification that enables the coding instruction to be recognized through a sensor of the robot. One or more paths that the robot can move by using a coding command corresponding to the identification of the card, one or more game boards on which one or more target objects in the path are printed, a plurality of characters, and content related to a specific situation are English and illustrations A storybook printed as, and a first object corresponding to the character included in the storybook, a second object corresponding to the target object printed on the game board, and a directive instructing the robot to arrive at the target object using a coding card , And a workbook in which at least one of English words, phrases, and sentences to be uttered by the user when the request of the directive is resolved is printed."
KR-20200082489-A,Coding training method and apparatus using coding puzzle,2018,2020-07-08,KR,Granted,MULTICS CO LTD,,YU SEUNG SU,1,1,Computational Thinking,patent,"The present invention can improve motivation, concentration, and logical thinking while solving various coding puzzles with fun, and access to game types differently from the existing coding education using complex combinations of commands (forward, rotate, repeat) Provides coding education methods and devices using coding puzzles that enable students to learn basic functions of computer programming from children who do not have programming experience to students who have no programming experience and can solve problems through intuitive manipulation using blocks. do."
KR-20200069145-A,drone control system for road management,2018,2020-06-16,KR,Granted,WAVE3D CO LTD; SEO KYOUNG SIK,,SEO KYOUNG SIK,2,1,Computational Thinking,patent,"The present invention relates to an educational robot and, more specifically, to an educational robot for performing a mission while driving a fixed track. According to the present invention, the educational robot performs a plurality of missions while driving a track institution a mission section and comprises: a motor; a wheel rotated by a driving force of the motor; an operation control unit controlling operation of the motor; a sensor unit recognizing a mission code disposed on the track; a mission control unit loading mission data matched with the mission code recognized through the sensor unit from a memory; an output unit outputting the mission data loaded by the mission control unit in audio and video; and a wireless communication unit wirelessly transmitting the mission data loaded by the mission control unit to a paired user terminal. The mission control unit reads a mission performance result received from the user terminal to determine whether the mission is completed and controls the operation of the motor based on a mission completion determination result by linking with the operation control unit."
KR-20200063601-A,Study system and method for coding education,2018,2020-06-05,KR,Withdrawn,LOGIBROTHERS INC,,SANGMIN NO; SUNGHWAN CHOI,1,2,Computational Thinking,patent,"The present invention relates to a learning system for coding education, in which a user calculates a moving path of a robot, and the robot sequentially sets moving order, suggests a question to the user, and moves in accordance with a solution, such that the user naturally understands and learns coding through play, and a learning method thereof. According to the present invention, the learning system for the coding education comprises: the robot moving in accordance with the set order; a server unit uploading the questions; and a control unit enabling the user to sequentially set the moving order of the robot and linked with the server unit to suggest the question to the user in each order, wherein the robot executes the next set movement when the user solves the question suggested in the corresponding order. Moreover, the learning method comprises: an operation step of allowing the user to use to sequentially set the moving order of the robot; a question solving step of allowing the user to solve the problem received from the server; and a moving step of allowing the robot to perform the movement of the next set order when the user suggests a correct answer and wait for the correct answer or cancel the previous movement when the user does not suggest the correct answer."
KR-20200057909-A,APPARATUS AND METHOD FOR PROVIDING CONVERGENCE EDUCATION USING GAMIFICATION,2018,2020-05-27,KR,Ceased,CHOI HA YEON,,CHOI HA YEON,1,1,Computational Thinking,patent,"The present invention relates to a fusion logic education method and learning device, and more particularly, to a fusion logic education method and learning device using gamification using algorithm visualization. The present invention is an integrated algorithm learning method and apparatus based on a fusion logic curriculum of language, mathematics, and programming that allows intuitive understanding of abstract logical structures using algorithm visualization and continuity of learning by using gamification in the course of learning. Students can improve their problem solving ability, logical reasoning ability, and expression ability by increasing their interest."
KR-20200055262-A,A PROGRAM FOR OPERATING OF THINGS,2018,2020-05-21,KR,Withdrawn,JRCODINGLAB INC,,LEEHANBYUL,1,1,Computational Thinking,patent,"According to an embodiment of the present invention, provided is a program for processing object control in accordance with coding learning. The program for processing object control is stored in a medium to execute the functions of: providing a learning process to code an event occurrence interlocked with an interaction function conversion device converting an operation of a remote interaction device and an object control signal corresponding to the operation of the remote interaction device to a learner terminal; generating and managing logic data by performing a compile process of user codes generated through the learning process; processing an interaction signal received from the interaction function conversion device or permission confirmation of sensor parts of the signal; and transmitting the user code-based logic data of the learner corresponding to a permission confirmation result to the interaction function conversion device."
KR-20200050546-A,Recording Meidium,2018,2020-05-12,KR,Withdrawn,JRCODINGLAB INC,,LEEHANBYUL,1,1,Computational Thinking,patent,"The recording medium according to an embodiment of the present invention, when one or more sensor parts provided to a learner by a coding learning service is mounted, a function for generating an interaction signal based on the sensor signal of the sensor parts and the interaction signal as an interaction function device Characterized in that a program for executing a function for remote transmission is recorded, and the interaction signal is used to determine the occurrence of a user code based event of the learner stored in a server by the coding learning service, and an interaction function device according to the occurrence of the event Characterized in that one or more functional modules included in the drive."
KR-20200050544-A,A PROGRAM OF REMOTE INTERACTION APPARATUS FOR STUDYING CODING,2018,2020-05-12,KR,Withdrawn,JRCODINGLAB INC,,LEEHANBYUL,1,1,Computational Thinking,patent,"A program provided in a remote interaction device for coding learning according to an embodiment of the present invention, when one or more sensor parts provided to a learner by a coding learning service is mounted, a function for generating an interaction signal based on the sensor signals of the sensor parts ; And a function of remotely transmitting the interaction signal to an interaction function device; the interaction signal is stored in a medium, and the interaction signal is used to determine the occurrence of a user code based event of the learner stored in a server by the coding learning service. It is characterized in that one or more function modules included in the interaction function device are driven according to an event."
KR-20200050541-A,A REMOTE INTERACTION APPARATUS FOR STUDYING CODING,2018,2020-05-12,KR,Withdrawn,JRCODINGLAB INC,,LEEHANBYUL,1,1,Computational Thinking,patent,"A remote interaction apparatus according to an embodiment of the present invention includes: a parts-mounted sensor unit equipped with one or more sensor parts provided to a learner by a coding learning service; An interaction signal generator for generating an interaction signal based on the sensor signals of the sensor parts; And a communication unit for remotely transmitting the interaction signal to an interaction function device, wherein the interaction signal is used to determine a user code based event occurrence of the learner stored in a server by the coding learning service, and an interaction function according to the occurrence of the event. Characterized in that one or more functional modules included in the device is driven."
KR-20200050539-A,A OPERATING METHOD USING A REMOTE INTERACTION APPARATUS FOR STUDYING CODING,2018,2020-05-12,KR,Withdrawn,JRCODINGLAB INC,,LEEHANBYUL,1,1,Computational Thinking,patent,"According to an embodiment of the present invention, an operation method of a remote interaction device comprises the steps of: mounting one or more sensor parts provided to a learner by a coding learning service thereon; generating an interaction signal based on a sensor signal of the sensor parts; and remotely transmitting the interaction signal to an interaction function device, wherein the interaction signal is used to determine the occurrence of a user code based event of the learner stored in a server by the coding learning service, and one or more function modules included in the interaction function device are driven according to the occurrence of the event."
KR-20200050538-A,Recording Medium,2018,2020-05-12,KR,Withdrawn,JRCODINGLAB INC,,LEEHANBYUL,1,1,Computational Thinking,patent,"According to an embodiment of the present invention, a recording medium records a program for executing: a function of generating an interaction signal based on a sensor signal of a sensor part when at least one sensor part provided to a learner by a coding learning service is mounted; and a function of remotely transmitting the interaction signal to an interaction function conversion device. The interaction signal is used for user code-based event occurrence determination of the learner stored in a server by the coding learning service. According to the occurrence of the event, an object control signal converted from a function driving signal generated by the interaction function conversion device is transmitted to an object control device to drive the object control device."
